word,count
love,267
oh,198
boom,190
know,171
got,170
baby,150
yeah,145
come,131
like,119
ooh,116
na,109
want,108
doo,104
gon,81
girl,81
time,77
way,77
need,73
feel,69
let,69
home,65
hey,65
away,64
power,62
think,57
wanna,55
heart,54
right,53
'cause,52
tell,51
wo,51
respect,49
eyes,48
dance,48
stop,46
night,44
body,43
tonight,38
find,38
aw,36
day,35
world,35
mind,35
believe,35
cruel,35
life,34
good,34
thing,33
better,33
ya,33
going,33
said,32
long,32
look,32
things,31
stand,31
darling,31
controversy,31
sweet,30
fall,29
little,29
pretty,29
feeling,29
light,28
free,28
face,26
delirious,26
change,26
sing,25
kiss,25
man,25
hear,25
getting,25
promises,25
new,24
talk,24
perfect,24
makes,23
lover,23
ha,23
remember,23
best,23
forever,23
head,23
touch,22
rain,22
sexy,22
hold,21
loving,21
language,21
days,21
rosanna,21
'em,21
try,20
playing,20
blue,19
hard,19
city,19
ta,19
meet,19
