word,count
love,308
oh,276
got,267
like,245
know,185
baby,184
shake,155
yeah,146
come,141
ron,125
way,120
right,118
let,114
gon,106
na,104
time,101
da,101
rock,99
little,96
away,83
night,80
man,75
want,75
hey,69
day,65
feel,65
rolling,64
ooh,61
home,60
hand,58
said,58
wanna,54
think,51
old,51
doo,51
need,49
girl,49
raise,49
heart,47
'cause,46
hell,46
ah,45
good,45
world,43
life,42
soul,42
la,41
boat,41
hear,38
song,38
tell,38
wo,37
gone,37
things,36
ready,36
run,35
ta,35
ey,35
lady,34
alright,34
daddy,33
fast,33
going,33
stop,33
share,33
dr.,33
ring,32
eyes,31
maybe,31
god,31
ya,31
verse,31
roll,31
better,31
boogaloo,31
sunshine,30
burning,30
long,29
peace,29
arms,29
find,28
big,28
cause,28
woman,28
new,27
leave,27
turn,27
rainin,27
bell,27
cry,26
morning,26
thing,25
train,25
free,24
mind,24
beginning,24
land,24
saturday,24
look,23
mama,23
