group,1950,1960,1970,1980,1990,2000,2010
Danceability,0.5549846153846154,0.539357522123894,0.5651449704142008,0.6493187500000003,0.6475263157894741,0.6830369565217388,0.6719390243902442
Energy,0.4808984615384616,0.5251831858407074,0.5486736686390532,0.6642406250000003,0.6354110803324097,0.7008782608695653,0.6750829268292678
Acousticness,0.6568941538461539,0.5008408955752213,0.3809165384615383,0.2087763604166667,0.21537552770083074,0.13389928130434786,0.14816207073170742
Loudness,0.17338550562531532,0.2439529728304286,0.14584424405804686,0.28397498884902855,0.4685546460275245,0.8541557559419531,0.8453944916323584
Valence,0.6726923076923074,0.6815253097345135,0.6526937869822486,0.6752964583333336,0.5713922437673133,0.5912656521739127,0.5285080487804881
Tempo,0.11662303208445438,0.6030718461002049,0.4277778361947249,0.8833769679155457,0.4227112059224967,0.45918204847019434,0.7548481109315516
