group,1950,1960,1970,1980,1990,2000,2010
Danceability,0.5564179104477613,0.5377680311890838,0.5635102459016393,0.6116586151368759,0.57598,0.5642600000000002,0.5958800000000001
Energy,0.521789552238806,0.5624692007797265,0.5413127049180327,0.657444122383252,0.6405466666666667,0.7912599999999999,0.70588
Acousticness,0.668852537313433,0.45492222417153994,0.3551889016393444,0.21661669726247995,0.20063611733333334,0.06935087000000001,0.12200696000000001
Loudness,0.2025036802771002,0.27620072362879733,0.12772493693607398,0.31077979030831426,0.4189877768735955,0.872275063063926,0.7984474950161367
Valence,0.6982537313432833,0.6926331384015595,0.6213950819672138,0.6359067632850235,0.5338053333333334,0.525868,0.5527400000000001
Tempo,0.127272840246696,0.22286184906484968,0.07731490064984536,0.3870534113088302,0.13560188602391243,0.9226850993501546,0.47752909587853887
