word,count
oh,81
love,60
ooh,44
promise,34
baby,30
tell,22
bird,21
dog,21
blue,19
tall,18
paul,17
jones,16
eyes,15
got,14
big,12
old,12
wee,12
puss,12
said,11
little,11
came,11
gon,11
na,11
queen,11
pussy,11
day,10
fired,10
hup,10
sweet,10
ribbon,10
shoes,9
come,9
stagger,9
lee,9
cat,9
true,8
tan,8
pink,8
shoelaces,8
man,8
better,8
hut,8
ran,8
away,8
hey,8
knew,8
want,7
billy,7
heart,7
moon,6
hat,6
'em,6
british,6
mississippi,6
gulf,6
mexico,6
like,6
ack,6
slow,6
silvery,6
till,5
knows,5
panama,5
purple,5
band,5
sea,5
guns,5
ago,5
johnny,5
remember,5
smoke,5
gets,5
turned,5
gonna,5
prize,5
hair,5
return,4
fire,4
polka,4
dot,4
vest,4
went,4
kept,4
comin,4
nigh,4
begin,4
runnin,4
grabbed,4
let,4
find,4
pet,4
tears,4
called,4
sue,4
lonely,4
lanky,4
everybody,4
great,4
yes,4
blues,4
