word,count
yeah,591
got,450
like,412
oh,408
know,320
hey,218
love,216
gon,211
wanna,195
girl,153
bitch,150
baby,146
let,135
bubble,123
fuck,107
na,106
ooh,104
want,103
boom,98
need,95
come,93
tell,92
body,88
ta,86
rack,85
ya,83
way,82
'cause,82
right,82
shit,79
nigga,79
real,78
city,75
niggas,74
la,74
time,73
think,73
bring,72
night,69
bounce,66
feel,63
butt,62
turn,59
good,56
said,54
'em,54
tryna,54
ah,54
little,53
ride,51
money,51
woah,51
talk,49
boy,48
everybody,48
young,47
day,47
life,47
uh,46
run,45
wo,45
gone,45
world,45
kiss,44
better,44
cause,44
alejandro,44
bass,44
long,43
hear,43
black,43
man,42
room,42
hold,41
old,41
sex,40
rake,40
look,39
panda,39
loving,39
saved,38
'bout,38
high,38
hit,38
tu,38
ba,37
cosita,37
heart,36
away,36
da,36
party,36
drop,36
wrong,36
drink,35
ready,35
babe,34
maybe,34
badoom,34
fall,33
miss,33
