word,count
love,343
baby,330
like,282
got,213
know,189
oh,157
come,145
time,145
let,134
want,134
gon,129
na,129
yeah,128
day,124
man,123
wanna,118
way,108
need,97
good,93
world,91
little,91
think,86
away,85
cause,84
whoot,84
night,82
bad,82
'cause,81
ooh,81
right,78
break,77
life,77
heart,77
people,75
find,71
girl,70
ya,70
la,69
feel,67
try,63
feeling,63
tell,62
stay,61
punishment,60
push,60
real,58
zoom,56
human,56
woah,56
mind,53
things,53
pride,53
flow,52
true,51
better,51
shit,50
deeper,49
hop,48
power,47
wha,47
boy,46
head,46
wo,45
woman,45
proud,44
round,43
gone,43
god,43
set,42
shake,42
thing,42
leave,42
conscience,42
look,41
boys,41
hard,41
yo,41
cool,40
hold,40
check,39
uh,39
crazy,39
whatcha,39
yea,39
bounce,38
place,37
stop,37
strong,37
beg,37
inside,36
turn,36
long,36
talk,36
eyes,35
new,35
said,35
hear,34
ta,34
boom,33
hey,32
