word,count
na,86
like,18
know,16
yeah,14
oh,14
dynamite,14
man,12
love,12
life,10
dyn,10
switchin,9
light,9
look,8
begging,8
hand,8
wreck,8
plans,8
tryna,8
play,8
wo,8
ah,8
night,7
mood,7
baby,7
better,7
jumpin,7
'cause,7
alight,7
hey,6
fuckin,6
round,6
actin,6
brand,6
new,6
tell,6
try,6
cool,6
playing,6
rules,6
view,6
bedroom,6
set,6
way,6
woah,6
bring,6
shinin,6
city,6
little,6
funk,6
soul,6
ayy,6
cookin,5
kitchen,5
olympics,5
hoops,5
infinite,5
nothin',5
stars,5
tonight,5
watch,5
fire,5
stray,4
follow,4
home,4
want,4
let,4
positions,4
good,4
kinda,4
willow,3
bent,3
right,3
wind,3
train,3
hollow,3
meet,3
need,3
huh,3
open,2
shut,2
case,2
known,2
face,2
feel,2
thing,2
time,2
come,2
bait,2
switch,2
work,2
art,2
games,2
avoid,2
depression,2
victim,2
shorty,2
kick,2
day,2
got,2
boy,2
