word,count
like,353
know,327
oh,312
got,272
yeah,242
love,235
girl,218
baby,216
let,214
come,169
time,165
ooh,163
uh,148
wanna,144
right,120
na,120
gon,117
bay,109
life,108
ya,106
way,105
'cause,98
hey,95
tell,88
real,83
feel,82
shit,81
need,80
wo,78
want,77
day,72
cause,69
boy,69
think,66
head,66
little,64
good,64
nigga,63
turn,62
wit,61
night,59
gone,58
man,58
thing,56
world,55
ah,55
okay,54
sexy,54
ay,54
whoa,52
eyes,52
bed,51
body,49
left,49
blame,49
run,48
shake,48
angel,48
look,47
best,47
ta,46
said,46
huh,46
stop,46
big,45
help,45
wrong,44
boom,43
tonight,42
hit,42
everybody,41
heart,41
play,41
hardcore,41
find,40
low,40
party,40
beep,40
'em,39
goes,39
rock,39
dun,39
da,39
money,38
ass,37
dj,37
club,36
la,36
care,36
shut,36
til,35
things,35
c'm,35
straight,35
sweet,35
wait,34
crazy,34
start,34
maybe,34
smack,34
